blockchain,transfer_count,unique_tokens,earliest_date,latest_date
bnb,115548309,65881,2026-01-05,2026-01-08
base,61496024,245958,2026-01-05,2026-01-08
polygon,46438138,4648,2026-01-05,2026-01-08
tron,23884064,590,2026-01-05,2026-01-08
celo,19701010,301,2026-01-05,2026-01-08
ethereum,15752816,17104,2026-01-05,2026-01-08
somnia,13944179,1238,2026-01-05,2026-01-08
worldchain,13204081,2105,2026-01-05,2026-01-08
optimism,12574641,2371,2026-01-05,2026-01-08
arbitrum,11071377,4304,2026-01-05,2026-01-08
avalanche_c,7860126,2582,2026-01-05,2026-01-08
opbnb,6113635,330,2026-01-05,2026-01-08
monad,5738593,1466,2026-01-05,2026-01-08
berachain,5052645,537,2026-01-05,2026-01-08
sei,4218587,293,2026-01-05,2026-01-08
gnosis,3619216,5183,2026-01-05,2026-01-08
hyperevm,2347374,896,2026-01-05,2026-01-08
abstract,2102231,231,2026-01-05,2026-01-08
sonic,2068728,1293,2026-01-05,2026-01-08
xlayer,1855152,1080,2026-01-05,2026-01-08
plasma,1835209,324,2026-01-05,2026-01-08
unichain,1709686,905,2026-01-05,2026-01-08
fantom,1677154,694,2026-01-05,2026-01-08
ronin,1547437,245,2026-01-05,2026-01-08
flare,805720,202,2026-01-05,2026-01-08
sophon,719617,21,2026-01-05,2026-01-08
linea,683272,353,2026-01-05,2026-01-08
kaia,614687,377,2026-01-05,2026-01-08
plume,478342,147,2026-01-05,2026-01-08
scroll,425623,147,2026-01-05,2026-01-08
zksync,407718,261,2026-01-05,2026-01-08
ink,376840,1159,2026-01-05,2026-01-08
henesys,332237,2,2026-01-05,2026-01-08
katana,223181,152,2026-01-05,2026-01-08
apechain,218136,61,2026-01-05,2026-01-08
mantle,140674,214,2026-01-05,2026-01-08
megaeth,120464,29,2026-01-05,2026-01-08
story,87469,93,2026-01-05,2026-01-08
peaq,56018,26,2026-01-05,2026-01-08
hemi,53809,46,2026-01-05,2026-01-08
viction,26031,34,2026-01-05,2026-01-08
shape,25990,5,2026-01-05,2026-01-08
bob,21239,56,2026-01-05,2026-01-08
taiko,15324,45,2026-01-05,2026-01-08
boba,12815,22,2026-01-05,2026-01-08
tac,10839,35,2026-01-05,2026-01-08
mezo,9753,26,2026-01-05,2026-01-08
nova,6432,85,2026-01-05,2026-01-08
zkevm,5072,21,2026-01-05,2026-01-08
superseed,4602,10,2026-01-05,2026-01-08
corn,589,10,2026-01-05,2026-01-08
degen,455,27,2026-01-05,2026-01-08
b3,75,2,2026-01-05,2026-01-08
